"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"1400000US17031231200","Census Tract 2312, Cook County, Illinois","2228","286","1951","307","277","117",
"1400000US17031231500","Census Tract 2315, Cook County, Illinois","2535","422","2057","459","478","179",
"1400000US17031240200","Census Tract 2402, Cook County, Illinois","800","99","795","99","5","7",
"1400000US17031240300","Census Tract 2403, Cook County, Illinois","709","85","612","91","97","38",
"1400000US17031240500","Census Tract 2405, Cook County, Illinois","1276","178","1276","178","0","12",
"1400000US17031240600","Census Tract 2406, Cook County, Illinois","664","97","651","97","13","20",
"1400000US17031240700","Census Tract 2407, Cook County, Illinois","701","82","701","82","0","12",
"1400000US17031240800","Census Tract 2408, Cook County, Illinois","661","70","575","70","86","44",
"1400000US17031240900","Census Tract 2409, Cook County, Illinois","620","126","542","132","78","32",
"1400000US17031241000","Census Tract 2410, Cook County, Illinois","896","94","767","105","129","47",
"1400000US17031241100","Census Tract 2411, Cook County, Illinois","1640","136","1425","144","215","87",
"1400000US17031241200","Census Tract 2412, Cook County, Illinois","924","138","853","141","71","45",
"1400000US17031241300","Census Tract 2413, Cook County, Illinois","827","90","769","90","58","37",
