"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US17031150401","Census Tract 1504.01, Cook County, Illinois","278200","16408",
"1400000US17031150402","Census Tract 1504.02, Cook County, Illinois","330800","23209",
"1400000US17031150501","Census Tract 1505.01, Cook County, Illinois","278200","7660",
"1400000US17031150502","Census Tract 1505.02, Cook County, Illinois","303100","29274",
"1400000US17031150600","Census Tract 1506, Cook County, Illinois","326700","20483",
"1400000US17031150700","Census Tract 1507, Cook County, Illinois","315500","19999",
"1400000US17031150800","Census Tract 1508, Cook County, Illinois","312300","25157",
"1400000US17031151001","Census Tract 1510.01, Cook County, Illinois","299800","26292",
"1400000US17031151002","Census Tract 1510.02, Cook County, Illinois","312600","17702",
"1400000US17031151100","Census Tract 1511, Cook County, Illinois","294000","18973",
"1400000US17031151200","Census Tract 1512, Cook County, Illinois","306100","20750",
"1400000US17031160100","Census Tract 1601, Cook County, Illinois","347900","22244",
"1400000US17031160200","Census Tract 1602, Cook County, Illinois","518600","65525",
"1400000US17031160300","Census Tract 1603, Cook County, Illinois","186400","22551",
"1400000US17031160400","Census Tract 1604, Cook County, Illinois","406900","67580",
"1400000US17031160501","Census Tract 1605.01, Cook County, Illinois","263400","35271",
"1400000US17031160502","Census Tract 1605.02, Cook County, Illinois","336700","32539",
"1400000US17031160601","Census Tract 1606.01, Cook County, Illinois","285400","33229",
"1400000US17031160602","Census Tract 1606.02, Cook County, Illinois","327400","63581",
"1400000US17031160700","Census Tract 1607, Cook County, Illinois","484400","185197",
"1400000US17031160800","Census Tract 1608, Cook County, Illinois","363200","33424",
"1400000US17031160900","Census Tract 1609, Cook County, Illinois","454300","20012",
"1400000US17031161000","Census Tract 1610, Cook County, Illinois","609800","61165",
"1400000US17031161100","Census Tract 1611, Cook County, Illinois","549000","63353",
"1400000US17031161200","Census Tract 1612, Cook County, Illinois","272000","15042",
"1400000US17031161300","Census Tract 1613, Cook County, Illinois","286700","18861",
"1400000US17031170100","Census Tract 1701, Cook County, Illinois","208500","14246",
"1400000US17031170200","Census Tract 1702, Cook County, Illinois","268000","9466",
"1400000US17031170300","Census Tract 1703, Cook County, Illinois","271800","12502",
"1400000US17031170400","Census Tract 1704, Cook County, Illinois","269700","13614",
"1400000US17031170500","Census Tract 1705, Cook County, Illinois","263500","12907",
"1400000US17031170600","Census Tract 1706, Cook County, Illinois","277200","15366",
"1400000US17031170700","Census Tract 1707, Cook County, Illinois","251900","26429",
"1400000US17031170800","Census Tract 1708, Cook County, Illinois","275200","9307",
"1400000US17031170900","Census Tract 1709, Cook County, Illinois","252800","22658",
"1400000US17031171000","Census Tract 1710, Cook County, Illinois","299100","21056",
"1400000US17031171100","Census Tract 1711, Cook County, Illinois","268500","11629",
"1400000US17031180100","Census Tract 1801, Cook County, Illinois","255000","16644",
"1400000US17031190100","Census Tract 1901, Cook County, Illinois","300000","52323",
"1400000US17031190200","Census Tract 1902, Cook County, Illinois","283000","14001",
